Sean, Rodriguez, 15234441,3.14, RoSe4441
Lisa, Phillips, 82208891,2.031, PhLi0891
Bob, Phillips, 89785001,3.22, PhBo0001
Lisa, Reich, 25435832,3.008, ReLi0832
David, Phillips, 67824509,1.684, PhDa0509
Michael, Reich, 57813229,2.374, ReMi0229
Lisa, Kudrow, 24371538,1.047, KuLi0538
Michelle, DiMarco, 11464129,1.183, DiMi0129
Leslie, Reich, 92836181,1.025, ReLe0181
Michelle, Passanante, 94475601,1.782, PaMi0601
Michelle, Waxman, 26455322,2.435, WaMi0322
John, Levitts, 76845231,1.726, LeJo0231
David, Waxman, 80432018,1.581, WaDa0018
Michelle, Passanante, 34096643,3.623, PaMi0643
Bob, Reich, 88872903,2.52, ReBo0903
Bob, Passanante, 45946938,3.756, PaBo0938
Leslie, DiMarco, 40156336,2.942, DiLe0336
David, Reich, 49908794,1.075, ReDa0794
Lisa, Levitts, 76864177,3.101, LeLi0177
Michael, Passanante, 82210089,2.882, PaMi0089
Bob, DiMarco, 28909954,1.039, DiBo0954
John, DiMarco, 80913846,1.328, DiJo0846
Stephanie, Phillips, 50996273,1.047, PhSt0273
Stephanie, Reich, 68621285,3.527, ReSt0285
Michael, Passanante, 88034242,3.098, PaMi0242
Lisa, Passanante, 24640834,3.908, PaLi0834
Michael, Reich, 54657763,1.696, ReMi0763
Leslie, Reich, 39005903,1.124, ReLe0903
Leslie, DiMarco, 27465475,2.366, DiLe0475
Lisa, Levitts, 13224203,3.62, LeLi0203
Stephanie, Waxman, 41123170,1.758, WaSt0170
John, Phillips, 85141461,1.69, PhJo0461
Leslie, Levitts, 91959503,1.059, LeLe0503
Michelle, DiMarco, 97802322,1.621, DiMi0322
John, DiMarco, 75187793,3.202, DiJo0793
David, Reich, 54691257,2.262, ReDa0257
David, DiMarco, 34386738,2.069, DiDa0738
Bob, Kudrow, 16236289,2.101, KuBo0289
Lisa, Levitts, 44372853,2.653, LeLi0853
John, Reich, 74958342,2.706, ReJo0342
Bryan, Kudrow, 61097447,3.916, KuBr0447
Stephanie, Levitts, 79149052,2.095, LeSt0052
John, Phillips, 94700940,2.773, PhJo0940
Michael, Reich, 57459800,2.404, ReMi0800
Bob, Waxman, 94357357,3.445, WaBo0357
Bryan, Kudrow, 69284847,2.913, KuBr0847
Michelle, DiMarco, 36041779,2.142, DiMi0779
Bryan, Waxman, 28321335,1.302, WaBr0335
Michelle, Levitts, 96853584,1.767, LeMi0584
Stephanie, Phillips, 69188957,2.691, PhSt0957
Michelle, Reich, 12028301,1.142, ReMi0301
Michelle, Phillips, 69492181,3.837, PhMi0181
John, Waxman, 63270856,2.945, WaJo0856
Michelle, DiMarco, 22207750,1.56, DiMi0750
Lisa, Phillips, 49543044,1.326, PhLi0044
Michael, Reich, 95780322,3.233, ReMi0322
Michael, Waxman, 83938060,3.934, WaMi0060
Leslie, Reich, 51809072,2.945, ReLe0072
Bryan, Waxman, 62774844,2.792, WaBr0844
Stephanie, Kudrow, 52708016,1.662, KuSt0016
Leslie, Kudrow, 75545110,1.261, KuLe0110
John, Waxman, 54222929,3.474, WaJo0929
Bob, Passanante, 86845850,1.044, PaBo0850
John, Reich, 40187634,1.787, ReJo0634
Leslie, Reich, 33930107,3.947, ReLe0107
Lisa, Phillips, 49402480,3.017, PhLi0480
Lisa, Phillips, 66008859,2.861, PhLi0859
Bryan, Passanante, 47017828,1.168, PaBr0828
John, Phillips, 43936821,3.186, PhJo0821
Leslie, DiMarco, 75305354,3.339, DiLe0354
Lisa, Phillips, 51414947,2.652, PhLi0947
Bryan, DiMarco, 61199983,3.041, DiBr0983
Stephanie, Kudrow, 91342495,2.262, KuSt0495
Michael, Passanante, 30495267,2.88, PaMi0267
David, Waxman, 43451421,1.812, WaDa0421
Michael, Reich, 61075010,2.971, ReMi0010
Michael, Phillips, 81855947,3.213, PhMi0947
Bob, Reich, 50063968,1.155, ReBo0968
Bob, Phillips, 63650090,3.57, PhBo0090
Lisa, Kudrow, 22280428,3.871, KuLi0428
Bryan, Reich, 22185992,2.743, ReBr0992
Bob, Passanante, 19873476,2.268, PaBo0476
Bob, Reich, 51165833,2.84, ReBo0833
Bob, Reich, 75527774,3.895, ReBo0774
Michael, Kudrow, 48180173,1.88, KuMi0173
John, Kudrow, 74118650,1.06, KuJo0650
Michael, Waxman, 78825494,2.562, WaMi0494
John, Passanante, 50200323,3.704, PaJo0323
Stephanie, DiMarco, 75033808,3.881, DiSt0808
David, DiMarco, 51210058,1.366, DiDa0058
Leslie, Passanante, 33747082,1.041, PaLe0082
Bryan, Phillips, 68771106,1.599, PhBr0106
Bryan, Passanante, 14569351,1.879, PaBr0351
Michael, Phillips, 22977167,1.901, PhMi0167
Leslie, Kudrow, 67529284,2.781, KuLe0284
Bryan, Kudrow, 77041270,2.029, KuBr0270
Stephanie, DiMarco, 64586056,2.778, DiSt0056
David, Passanante, 52191831,2.261, PaDa0831
Leslie, Levitts, 61011295,3.319, LeLe0295
Stephanie, Passanante, 65198714,2.965, PaSt0714
Bryan, Passanante, 35279964,1.899, PaBr0964
John, Reich, 33412119,3.55, ReJo0119
Michael, DiMarco, 38602952,3.55, DiMi0952
Lisa, Waxman, 34697076,2.652, WaLi0076
Michael, Waxman, 97734200,2.865, WaMi0200
Michael, DiMarco, 22146422,2.129, DiMi0422
Leslie, Waxman, 47185191,1.054, WaLe0191
David, DiMarco, 25954993,3.225, DiDa0993
John, Kudrow, 29479577,3.233, KuJo0577
Bryan, Kudrow, 17337903,1.976, KuBr0903
Michael, Reich, 84580805,1.909, ReMi0805
Bob, Kudrow, 71875704,3.703, KuBo0704
Lisa, Levitts, 62125513,1.379, LeLi0513
Michelle, DiMarco, 52169232,2.184, DiMi0232
Stephanie, Kudrow, 32595528,3.513, KuSt0528
Leslie, Reich, 32186958,1.847, ReLe0958
John, Phillips, 46061278,2.122, PhJo0278
Bryan, Kudrow, 98187659,3.063, KuBr0659
Stephanie, Reich, 89629421,3.893, ReSt0421
Michael, Passanante, 73601222,3.394, PaMi0222
John, DiMarco, 37227523,1.593, DiJo0523
John, Kudrow, 97750383,2.373, KuJo0383
Michelle, DiMarco, 37858569,3.013, DiMi0569
Bryan, DiMarco, 40796219,1.162, DiBr0219
Bob, Waxman, 10958150,3.861, WaBo0150
Bob, Levitts, 79790230,1.178, LeBo0230
Bob, Levitts, 89987102,3.579, LeBo0102
Michelle, Phillips, 13215766,3.523, PhMi0766
John, Levitts, 97892471,1.788, LeJo0471
Stephanie, Passanante, 43901669,2.815, PaSt0669
Lisa, DiMarco, 30569523,3.836, DiLi0523
David, Reich, 22690925,2.75, ReDa0925
David, Levitts, 36957707,1.648, LeDa0707
Leslie, Reich, 17747106,3.493, ReLe0106
Michael, Phillips, 26903332,1.868, PhMi0332
Stephanie, DiMarco, 56881478,1.734, DiSt0478
Stephanie, Waxman, 50421766,2.978, WaSt0766
Lisa, Reich, 62783519,3.002, ReLi0519
Michelle, Levitts, 94491999,3.887, LeMi0999
John, DiMarco, 33537706,1.571, DiJo0706
Michael, Phillips, 36016363,1.184, PhMi0363
Bob, Passanante, 93309382,1.054, PaBo0382
Lisa, Phillips, 62078217,2.026, PhLi0217
Leslie, Phillips, 60582476,2.523, PhLe0476
Leslie, Phillips, 91130434,2.387, PhLe0434
Leslie, Waxman, 93831932,1.739, WaLe0932
John, Kudrow, 81247474,1.115, KuJo0474
Bob, DiMarco, 37013649,1.845, DiBo0649
Leslie, Waxman, 74073872,1.022, WaLe0872
John, Kudrow, 59754714,3.6, KuJo0714
Bob, Waxman, 15601953,2.971, WaBo0953
David, Reich, 79626796,1.992, ReDa0796
Lisa, Reich, 47411572,2.675, ReLi0572
Stephanie, Reich, 66385458,3.837, ReSt0458
Leslie, Kudrow, 94504723,3.669, KuLe0723
Leslie, Levitts, 20558232,3.685, LeLe0232
Michael, DiMarco, 28367788,3.673, DiMi0788
Bob, Reich, 61264267,3.128, ReBo0267
Leslie, Levitts, 86394266,2.314, LeLe0266
Stephanie, Levitts, 90648349,3.36, LeSt0349
John, Waxman, 81300801,3.913, WaJo0801
John, Waxman, 54812118,3.565, WaJo0118
Leslie, Passanante, 96669290,1.813, PaLe0290
Stephanie, Phillips, 43625283,2.48, PhSt0283
Michelle, Phillips, 77247911,3.449, PhMi0911
Lisa, Waxman, 34299669,1.221, WaLi0669
Leslie, DiMarco, 65143878,3.14, DiLe0878
David, Passanante, 96108873,3.219, PaDa0873
Stephanie, Phillips, 65540724,2.308, PhSt0724
Michael, Waxman, 96136384,1.834, WaMi0384
John, Levitts, 78072935,3.593, LeJo0935
Michael, Passanante, 38434942,1.023, PaMi0942
John, Reich, 42490756,2.07, ReJo0756
David, Kudrow, 31479968,1.111, KuDa0968
Leslie, Reich, 99747951,3.554, ReLe0951
Bryan, Reich, 71299885,2.537, ReBr0885
Michelle, DiMarco, 62145368,1.68, DiMi0368
John, Waxman, 30166117,3.151, WaJo0117
Bob, Phillips, 68663085,2.243, PhBo0085
Lisa, Waxman, 83225592,1.399, WaLi0592
Lisa, DiMarco, 14113985,1.012, DiLi0985
Michelle, Levitts, 27958580,3.497, LeMi0580
Leslie, DiMarco, 43251543,1.965, DiLe0543
Leslie, Passanante, 23844642,3.419, PaLe0642
David, Kudrow, 13464652,1.684, KuDa0652
Leslie, Kudrow, 82119530,1.304, KuLe0530
John, Kudrow, 82192291,1.357, KuJo0291
Bob, Waxman, 68005842,3.612, WaBo0842
David, Phillips, 97690877,3.608, PhDa0877
Leslie, Passanante, 20300247,3.122, PaLe0247
Bob, Phillips, 84287059,3.126, PhBo0059
Michelle, DiMarco, 75700078,3.614, DiMi0078
Bob, Levitts, 85748823,1.793, LeBo0823
Michael, Phillips, 27752128,1.815, PhMi0128
Michael, Waxman, 82907678,1.791, WaMi0678
John, Passanante, 12806454,1.967, PaJo0454
Bryan, Passanante, 94164771,2.896, PaBr0771
David, Reich, 57857986,1.085, ReDa0986
Michelle, Levitts, 50013711,3.917, LeMi0711
Michelle, Passanante, 27658774,3.768, PaMi0774
Michael, Phillips, 45212928,3.014, PhMi0928
Michelle, Reich, 90983677,3.129, ReMi0677
Lisa, Passanante, 64740404,1.339, PaLi0404
Leslie, Reich, 48432311,3.203, ReLe0311
David, Passanante, 12163529,3.225, PaDa0529
Stephanie, Waxman, 26650042,2.913, WaSt0042
Stephanie, Waxman, 81556958,3.891, WaSt0958
Michelle, Phillips, 26350903,3.435, PhMi0903
Michael, Passanante, 96601253,1.372, PaMi0253
John, DiMarco, 64025148,2.561, DiJo0148
Bob, DiMarco, 62995102,1.133, DiBo0102
Michelle, Waxman, 59714362,3.378, WaMi0362
Lisa, Kudrow, 62813971,3.6, KuLi0971
Michael, Kudrow, 85736850,2.379, KuMi0850
John, Reich, 71947977,1.558, ReJo0977
Michelle, Reich, 83746183,3.831, ReMi0183
Bryan, Passanante, 34251780,3.13, PaBr0780
Michelle, Waxman, 70005667,2.987, WaMi0667
Lisa, Kudrow, 98539345,3.816, KuLi0345
Lisa, Waxman, 71261582,1.493, WaLi0582
Michelle, Passanante, 47056357,2.787, PaMi0357
Bob, DiMarco, 46097973,2.076, DiBo0973
Leslie, Phillips, 26563100,3.419, PhLe0100
Michael, Waxman, 69155833,2.342, WaMi0833
David, Levitts, 35660640,1.768, LeDa0640
Lisa, Passanante, 88099478,2.292, PaLi0478
Bryan, Phillips, 54493093,3.451, PhBr0093
David, Levitts, 25712922,1.883, LeDa0922
Stephanie, Phillips, 25458809,2.161, PhSt0809
Michael, Phillips, 32009065,1.73, PhMi0065
David, Passanante, 86063275,3.764, PaDa0275
David, Phillips, 83734520,2.78, PhDa0520
David, Waxman, 37546571,3.706, WaDa0571
John, DiMarco, 41152888,1.562, DiJo0888
Leslie, Levitts, 25418146,3.184, LeLe0146
Leslie, Waxman, 34489261,2.342, WaLe0261
Stephanie, Phillips, 20531782,3.306, PhSt0782
Michelle, Phillips, 84918824,2.274, PhMi0824
Bob, Levitts, 31833518,1.2, LeBo0518
John, Kudrow, 47482324,2.393, KuJo0324
Stephanie, Reich, 34415359,3.781, ReSt0359
Lisa, Waxman, 85811220,2.031, WaLi0220
Bob, DiMarco, 59007597,3.658, DiBo0597
Bryan, Reich, 21045356,1.007, ReBr0356
Bob, Passanante, 11542520,3.37, PaBo0520
David, Phillips, 59825946,1.664, PhDa0946
Stephanie, DiMarco, 73922366,3.945, DiSt0366
Michael, DiMarco, 28746678,3.616, DiMi0678
David, Levitts, 39624311,3.474, LeDa0311
Bryan, Levitts, 25145776,2.772, LeBr0776
John, Reich, 10275291,1.175, ReJo0291
Michelle, Phillips, 16621809,3.99, PhMi0809
Bryan, Kudrow, 41829492,3.158, KuBr0492
Leslie, Reich, 84156069,3.451, ReLe0069
David, Levitts, 41481330,2.865, LeDa0330
Bob, Phillips, 56224326,2.584, PhBo0326
Lisa, Kudrow, 68946685,2.882, KuLi0685
Michael, Kudrow, 93780776,2.142, KuMi0776
Michael, Passanante, 48245268,1.611, PaMi0268
Lisa, Kudrow, 28497003,3.761, KuLi0003
David, Waxman, 78616867,3.992, WaDa0867
Bryan, Levitts, 49138740,2.098, LeBr0740
Lisa, Passanante, 35704348,2.26, PaLi0348
Michelle, DiMarco, 43463282,2.384, DiMi0282
Michelle, Waxman, 56636162,2.447, WaMi0162
John, Levitts, 55520324,2.979, LeJo0324
David, Waxman, 15141226,2.077, WaDa0226
Michelle, Reich, 20739062,3.278, ReMi0062
Bryan, Levitts, 75328948,2.302, LeBr0948
Bryan, Waxman, 23684355,2.054, WaBr0355
Michelle, Kudrow, 25267237,3.406, KuMi0237
Stephanie, Waxman, 95864774,3.066, WaSt0774
John, Phillips, 63991285,2.428, PhJo0285
John, Waxman, 33475353,3.543, WaJo0353
Bob, Kudrow, 68075968,3.333, KuBo0968
Bob, Phillips, 97457807,1.871, PhBo0807
John, Passanante, 56404638,2.984, PaJo0638
Stephanie, Phillips, 60761118,1.566, PhSt0118
Stephanie, Waxman, 94267148,3.839, WaSt0148
Stephanie, DiMarco, 30185206,1.395, DiSt0206
Bob, Reich, 60419924,3.131, ReBo0924
Bob, Passanante, 12690579,1.214, PaBo0579
Michael, Kudrow, 83240857,1.952, KuMi0857
Bryan, Waxman, 78556709,2.869, WaBr0709
Lisa, Passanante, 44611880,3.497, PaLi0880
Lisa, Passanante, 26271998,1.253, PaLi0998
Stephanie, Passanante, 82662022,3.396, PaSt0022
Bob, Phillips, 86538098,3.364, PhBo0098
Lisa, Waxman, 87003722,2.881, WaLi0722
David, Phillips, 85271457,2.933, PhDa0457
Michelle, Passanante, 72595266,1.231, PaMi0266
Bryan, DiMarco, 87984838,3.988, DiBr0838
Lisa, Reich, 10862131,2.714, ReLi0131
David, Phillips, 80431675,1.427, PhDa0675
Lisa, Reich, 59210033,2.0, ReLi0033
Lisa, DiMarco, 42896055,1.444, DiLi0055
John, Kudrow, 82562546,2.751, KuJo0546
John, Kudrow, 88011132,3.396, KuJo0132
Bob, Passanante, 83056041,1.856, PaBo0041
John, Levitts, 84488815,3.46, LeJo0815
David, DiMarco, 26524788,1.524, DiDa0788
David, Passanante, 11643503,3.158, PaDa0503
Stephanie, Reich, 96909051,1.202, ReSt0051
Bob, Waxman, 62092712,3.595, WaBo0712
Leslie, Phillips, 92218954,3.032, PhLe0954
Stephanie, Passanante, 72517396,3.001, PaSt0396
Michael, Waxman, 28186942,2.314, WaMi0942
Michelle, Levitts, 44864771,3.913, LeMi0771
David, Passanante, 78241667,1.181, PaDa0667
Stephanie, Kudrow, 32876442,1.096, KuSt0442
Michael, Waxman, 70936095,3.467, WaMi0095
Stephanie, Passanante, 31324680,3.025, PaSt0680
Lisa, Kudrow, 48462626,3.465, KuLi0626
Lisa, Phillips, 77839634,2.543, PhLi0634
Stephanie, Kudrow, 82388102,3.056, KuSt0102
Michelle, Phillips, 79710300,2.007, PhMi0300
Stephanie, Reich, 85241443,2.404, ReSt0443
Michelle, Phillips, 70542039,1.038, PhMi0039
David, Kudrow, 19086776,3.211, KuDa0776
Michael, Passanante, 94153518,2.69, PaMi0518
Lisa, Levitts, 24714836,1.213, LeLi0836
Bryan, Kudrow, 15595785,1.654, KuBr0785
Lisa, Kudrow, 17585480,2.411, KuLi0480
John, Phillips, 31676401,2.812, PhJo0401
Leslie, Levitts, 29154099,2.231, LeLe0099
David, Passanante, 65871365,2.251, PaDa0365
Leslie, Phillips, 74714761,2.591, PhLe0761
Stephanie, Passanante, 35007666,1.556, PaSt0666
Michelle, Passanante, 61392897,1.586, PaMi0897
Michelle, DiMarco, 27599284,1.001, DiMi0284
Bryan, Kudrow, 92420312,2.249, KuBr0312
Michael, Kudrow, 86219449,1.942, KuMi0449
Stephanie, Waxman, 16325387,3.614, WaSt0387
Bob, Reich, 28791966,1.538, ReBo0966
David, Kudrow, 62171227,1.043, KuDa0227
Bob, Passanante, 36184412,2.606, PaBo0412
Leslie, Levitts, 14474618,2.519, LeLe0618
Lisa, Levitts, 55986029,2.228, LeLi0029
Bob, Kudrow, 73938573,2.393, KuBo0573
David, Passanante, 54853134,1.436, PaDa0134
John, DiMarco, 92631281,1.777, DiJo0281
Michelle, Phillips, 24304826,1.06, PhMi0826
Stephanie, Levitts, 14744299,3.568, LeSt0299
Bob, Phillips, 17351838,3.593, PhBo0838
Bob, Reich, 56562749,3.796, ReBo0749
Bob, Levitts, 65841328,2.655, LeBo0328
David, Reich, 81780414,1.783, ReDa0414
Stephanie, Phillips, 30900418,2.39, PhSt0418
Lisa, Passanante, 80792432,1.31, PaLi0432
Michelle, Kudrow, 91361310,1.903, KuMi0310
David, Phillips, 85098518,2.774, PhDa0518
Leslie, Passanante, 77550778,3.552, PaLe0778
Michael, Passanante, 30449446,2.027, PaMi0446
Stephanie, Reich, 20326848,2.714, ReSt0848
Bob, Reich, 14869625,3.388, ReBo0625
Bryan, Passanante, 77745491,1.34, PaBr0491
David, Kudrow, 70188606,1.021, KuDa0606
Michael, Waxman, 94240128,1.397, WaMi0128
Bob, Kudrow, 28214295,3.658, KuBo0295
David, Phillips, 59696765,1.051, PhDa0765
Michael, Passanante, 85180711,1.371, PaMi0711
Lisa, Reich, 58307573,2.152, ReLi0573
Michelle, DiMarco, 80603095,1.872, DiMi0095
Stephanie, Reich, 29585720,2.39, ReSt0720
John, Waxman, 29173160,3.541, WaJo0160
Michael, Levitts, 46424278,3.19, LeMi0278
Stephanie, DiMarco, 56827353,1.15, DiSt0353
Lisa, DiMarco, 37581990,2.204, DiLi0990
Stephanie, Levitts, 74620859,1.014, LeSt0859
Michael, Kudrow, 64478756,2.97, KuMi0756
Stephanie, Levitts, 86540245,2.004, LeSt0245
Lisa, Kudrow, 34683607,3.099, KuLi0607
John, Waxman, 69887476,1.667, WaJo0476
Stephanie, Phillips, 96978003,1.061, PhSt0003
Bob, Phillips, 99368182,3.4, PhBo0182
Michelle, Levitts, 15377248,2.422, LeMi0248
David, Levitts, 58516961,1.394, LeDa0961
Michelle, DiMarco, 71992871,1.119, DiMi0871
Lisa, DiMarco, 14592507,1.82, DiLi0507
Bob, DiMarco, 41118738,2.111, DiBo0738
Stephanie, Waxman, 15575425,1.471, WaSt0425
Bob, Kudrow, 89423749,2.493, KuBo0749
Lisa, Passanante, 70401507,1.812, PaLi0507
Stephanie, Levitts, 99633904,1.924, LeSt0904
Bryan, Kudrow, 16063297,2.175, KuBr0297
Leslie, Levitts, 57586570,2.945, LeLe0570
Michelle, Phillips, 77712751,3.542, PhMi0751
Bryan, Phillips, 25039736,1.534, PhBr0736
David, Reich, 70397816,1.143, ReDa0816
Lisa, Waxman, 43119110,1.993, WaLi0110
David, DiMarco, 73565721,1.838, DiDa0721
Bob, Passanante, 63785833,3.993, PaBo0833
Michelle, Reich, 31965819,3.977, ReMi0819
Michael, Kudrow, 29207629,3.38, KuMi0629
Lisa, Kudrow, 79084761,1.234, KuLi0761
Stephanie, Waxman, 61416214,1.075, WaSt0214
John, Waxman, 71746850,3.598, WaJo0850
Michael, Reich, 27133787,3.158, ReMi0787
John, Passanante, 87012348,3.509, PaJo0348
Bob, Kudrow, 15151380,1.981, KuBo0380
Michael, Levitts, 55006589,1.845, LeMi0589
Michelle, Levitts, 46141910,3.893, LeMi0910
Stephanie, DiMarco, 53812670,2.22, DiSt0670
John, Reich, 57290737,1.921, ReJo0737
John, Levitts, 25060575,2.821, LeJo0575
David, Phillips, 56626537,2.497, PhDa0537
John, Phillips, 31345502,3.732, PhJo0502
Stephanie, Waxman, 94435305,3.067, WaSt0305
Stephanie, Reich, 39108249,3.48, ReSt0249
Michael, Phillips, 81640305,1.177, PhMi0305
Bob, Phillips, 33110425,1.246, PhBo0425
Bryan, Reich, 47530758,2.372, ReBr0758
Michael, Levitts, 31137331,3.971, LeMi0331
Stephanie, DiMarco, 11722127,1.001, DiSt0127
David, DiMarco, 40061326,2.32, DiDa0326
Leslie, Waxman, 17730752,1.765, WaLe0752
John, Phillips, 16898464,3.213, PhJo0464
Bob, Waxman, 88045695,3.597, WaBo0695
David, Passanante, 10991235,3.39, PaDa0235
Lisa, Waxman, 63080589,3.218, WaLi0589
John, Passanante, 55950215,2.231, PaJo0215
Lisa, Phillips, 28888292,1.459, PhLi0292
Bob, DiMarco, 32487453,2.783, DiBo0453
John, Reich, 81021184,2.179, ReJo0184
Michael, Phillips, 15774372,1.728, PhMi0372
Michelle, Waxman, 84419906,3.385, WaMi0906
Leslie, DiMarco, 23457022,2.73, DiLe0022
John, Kudrow, 21713342,1.879, KuJo0342
Bryan, Reich, 82961529,1.408, ReBr0529
David, Passanante, 14812681,3.53, PaDa0681
David, Waxman, 29222467,1.87, WaDa0467
Stephanie, Passanante, 27182352,2.011, PaSt0352
Bob, Levitts, 86467042,2.543, LeBo0042
Bryan, Passanante, 86670652,3.583, PaBr0652
John, Phillips, 70187885,3.755, PhJo0885
John, Passanante, 91282887,2.279, PaJo0887
Stephanie, Levitts, 17937231,3.285, LeSt0231
Stephanie, DiMarco, 82779815,2.563, DiSt0815
Michelle, Waxman, 40075336,3.849, WaMi0336
Lisa, Phillips, 95484232,1.317, PhLi0232
Bob, Levitts, 84105936,3.23, LeBo0936
Stephanie, Reich, 60178496,3.737, ReSt0496
Leslie, DiMarco, 58731538,1.525, DiLe0538
Bob, Kudrow, 85475805,1.482, KuBo0805
John, Phillips, 66261384,3.719, PhJo0384
Michelle, Waxman, 21548040,1.163, WaMi0040
Lisa, Phillips, 64504886,2.553, PhLi0886
Bob, Phillips, 23592997,3.015, PhBo0997
Bob, Passanante, 11783346,2.395, PaBo0346
Bryan, Levitts, 74923804,1.343, LeBr0804
Michelle, Waxman, 41192774,1.59, WaMi0774
Bryan, Phillips, 52063337,1.074, PhBr0337
David, Phillips, 52750624,1.494, PhDa0624
David, Phillips, 46726474,3.512, PhDa0474
John, Reich, 24559242,3.162, ReJo0242
Lisa, Passanante, 52072952,2.14, PaLi0952
Bob, Waxman, 26618853,1.399, WaBo0853
Lisa, Waxman, 33113688,3.038, WaLi0688
Leslie, Passanante, 23422914,1.648, PaLe0914
Stephanie, Phillips, 73653345,1.291, PhSt0345
David, Phillips, 23968599,1.921, PhDa0599
David, Waxman, 44651969,1.442, WaDa0969
David, Levitts, 80315280,2.747, LeDa0280
Leslie, Reich, 61388497,2.852, ReLe0497
David, Phillips, 18323786,3.839, PhDa0786
David, Waxman, 49308974,3.549, WaDa0974
David, Kudrow, 66709258,3.96, KuDa0258
Bryan, Kudrow, 90942259,1.907, KuBr0259
Michelle, DiMarco, 63040427,3.186, DiMi0427
Bryan, Kudrow, 98766058,3.248, KuBr0058
Bryan, Passanante, 67818092,1.551, PaBr0092
Lisa, Levitts, 81406081,3.194, LeLi0081
Bob, Passanante, 20265668,3.77, PaBo0668
Leslie, Waxman, 43051145,1.383, WaLe0145
Lisa, Phillips, 51964548,1.515, PhLi0548
Leslie, Passanante, 18467032,3.861, PaLe0032
David, Phillips, 36967149,1.456, PhDa0149
Bryan, Passanante, 48491913,3.261, PaBr0913
Lisa, Waxman, 39520428,3.034, WaLi0428
Stephanie, Reich, 13396151,1.598, ReSt0151
David, DiMarco, 13032673,1.68, DiDa0673
John, Reich, 73989296,3.276, ReJo0296
Lisa, DiMarco, 96416404,3.939, DiLi0404
Stephanie, Waxman, 62857091,2.639, WaSt0091
Michael, DiMarco, 86440186,2.723, DiMi0186
John, Waxman, 60611290,3.166, WaJo0290
David, Reich, 17222152,2.657, ReDa0152
Michelle, Passanante, 94535102,1.138, PaMi0102
David, Phillips, 20498077,3.218, PhDa0077
Michael, Reich, 69507085,2.381, ReMi0085
Michelle, DiMarco, 92796797,1.162, DiMi0797
John, Waxman, 73586295,3.409, WaJo0295
Michael, Phillips, 58155784,2.412, PhMi0784
David, Reich, 53141491,1.074, ReDa0491
Stephanie, Reich, 37509694,1.42, ReSt0694
Michelle, DiMarco, 34907241,2.545, DiMi0241
John, Waxman, 48384713,3.67, WaJo0713
Leslie, Levitts, 24849694,2.218, LeLe0694
John, DiMarco, 81031487,2.828, DiJo0487
Lisa, Waxman, 86224880,3.9, WaLi0880
Michael, Waxman, 39629472,1.725, WaMi0472
Leslie, Reich, 41712313,2.338, ReLe0313
Bob, DiMarco, 39695508,2.152, DiBo0508
Stephanie, Passanante, 67006732,3.955, PaSt0732
Lisa, Waxman, 45329421,3.179, WaLi0421
Leslie, Phillips, 45750776,2.367, PhLe0776
Leslie, Levitts, 12429481,3.46, LeLe0481
Lisa, Reich, 78191425,2.035, ReLi0425
David, Waxman, 16510520,3.744, WaDa0520
Stephanie, Passanante, 58443001,1.124, PaSt0001
Michelle, Waxman, 46257522,3.55, WaMi0522
Stephanie, Phillips, 37739547,1.422, PhSt0547
Leslie, DiMarco, 66447503,1.73, DiLe0503
Stephanie, Phillips, 53559404,2.91, PhSt0404
Michelle, Passanante, 76372486,2.374, PaMi0486
Michelle, Waxman, 17004791,1.313, WaMi0791
Leslie, Levitts, 92396376,1.283, LeLe0376
Michael, Levitts, 93319201,1.729, LeMi0201
Michael, DiMarco, 95778589,3.962, DiMi0589
David, Passanante, 52925428,2.173, PaDa0428
John, Reich, 99397183,3.866, ReJo0183
Michelle, Waxman, 52867037,3.627, WaMi0037
Michael, Reich, 59504368,3.338, ReMi0368
Michael, Kudrow, 21036085,1.939, KuMi0085
Leslie, Kudrow, 11147142,1.486, KuLe0142
Bob, DiMarco, 58069915,1.653, DiBo0915
Bryan, Kudrow, 18385941,2.932, KuBr0941
Michael, Reich, 64299832,2.613, ReMi0832
David, Waxman, 92944045,3.17, WaDa0045
Michael, Reich, 61634459,3.941, ReMi0459
Michelle, Phillips, 77420593,2.99, PhMi0593
Bryan, DiMarco, 92760602,1.71, DiBr0602
Michelle, DiMarco, 51700007,3.181, DiMi0007
Bryan, DiMarco, 42544455,2.416, DiBr0455
David, DiMarco, 43690649,3.481, DiDa0649
Bob, Passanante, 19015890,3.086, PaBo0890
Michelle, Reich, 98025498,3.488, ReMi0498
John, DiMarco, 63818740,3.612, DiJo0740
Leslie, Passanante, 68857690,3.997, PaLe0690
David, Reich, 54509794,3.641, ReDa0794
Michelle, Passanante, 55383711,1.977, PaMi0711
Lisa, DiMarco, 53589386,3.127, DiLi0386
Stephanie, DiMarco, 81227063,3.152, DiSt0063
David, Reich, 31646354,2.378, ReDa0354
Lisa, Waxman, 71315227,1.906, WaLi0227
John, Phillips, 74500190,1.18, PhJo0190
Leslie, Passanante, 32382705,1.972, PaLe0705
Michael, Reich, 46723205,3.351, ReMi0205
David, Waxman, 95732995,2.116, WaDa0995
Michael, Reich, 46425496,3.806, ReMi0496
Stephanie, Levitts, 13392279,3.791, LeSt0279
David, Passanante, 38685553,1.973, PaDa0553
Michael, Kudrow, 61287640,2.473, KuMi0640
